"Date","Price","Open","High","Low","Vol.","Change %"
"29-08-2024","184.70","185.10","187.20","181.90","0.03K","-0.35%"
"28-08-2024","185.35","186.25","186.35","183.80","0.05K","-0.40%"
"27-08-2024","186.10","185.70","187.00","184.50","0.07K","0.76%"
"26-08-2024","184.70","189.95","190.30","183.40","0.15K","-2.53%"
"23-08-2024","189.50","189.70","190.45","189.15","0.46K","0.05%"
"22-08-2024","189.40","189.45","190.50","189.20","0.56K","0.00%"
"21-08-2024","189.40","188.85","189.75","188.85","0.40K","0.24%"
"20-08-2024","188.95","187.70","189.80","187.45","0.76K","0.67%"
"19-08-2024","187.70","188.20","188.30","187.30","0.28K","-0.05%"
"16-08-2024","187.80","187.20","188.00","187.05","0.56K","0.51%"
"14-08-2024","186.85","186.65","187.35","184.95","0.81K","0.65%"
"13-08-2024","185.65","186.90","187.05","185.40","0.55K","-0.80%"
"12-08-2024","187.15","187.20","188.40","186.90","0.72K","0.16%"
"09-08-2024","186.85","184.55","187.15","184.55","1.14K","1.52%"
"08-08-2024","184.05","183.30","184.50","182.10","0.55K","0.55%"
"07-08-2024","183.05","182.55","183.55","181.80","0.59K","0.03%"
"06-08-2024","183.00","181.15","184.00","178.15","1.24K","0.85%"
"05-08-2024","181.45","185.80","186.10","181.05","0.97K","-2.37%"
"02-08-2024","185.85","186.65","186.70","185.55","0.48K","-0.40%"
"01-08-2024","186.60","188.45","188.75","186.50","1.06K","-9.90%"
"31-07-2024","207.10","206.00","208.20","206.00","0.00K","0.05%"
"30-07-2024","207.00","207.00","207.00","207.00","0.00K","3.94%"
"29-07-2024","199.15","194.00","203.80","193.50","0.04K","2.65%"
"26-07-2024","194.00","194.05","194.40","193.55","0.01K","0.10%"
"25-07-2024","193.80","190.15","193.95","190.00","0.10K","1.79%"
"24-07-2024","190.40","186.80","191.00","186.60","0.81K","1.68%"
"23-07-2024","187.25","187.30","187.50","186.80","0.17K","0.13%"
"22-07-2024","187.00","187.05","187.25","186.00","0.37K","-0.05%"
"19-07-2024","187.10","187.75","188.05","186.95","0.41K","-0.40%"
"18-07-2024","187.85","189.50","190.45","187.60","0.65K","-0.77%"
"17-07-2024","189.30","191.30","192.00","189.15","0.55K","-0.03%"
"16-07-2024","189.35","189.70","189.85","188.50","0.51K","-0.05%"
"15-07-2024","189.45","189.80","190.30","189.20","0.54K","-0.34%"
"12-07-2024","190.10","189.40","190.35","188.90","0.45K","0.40%"
"11-07-2024","189.35","189.15","189.80","188.80","0.56K","0.37%"
"10-07-2024","188.65","188.80","189.15","188.05","0.59K","0.03%"
"09-07-2024","188.60","190.00","190.45","188.00","0.82K","-0.82%"
"08-07-2024","190.15","190.00","190.90","189.50","0.53K","0.03%"
"05-07-2024","190.10","189.45","190.65","189.30","0.36K","0.26%"
"04-07-2024","189.60","189.50","189.90","188.95","0.48K","0.13%"
"03-07-2024","189.35","188.45","189.75","188.45","0.52K","0.48%"
"02-07-2024","188.45","189.50","190.15","188.25","0.62K","-0.55%"
"01-07-2024","189.50","190.80","190.80","189.20","0.44K","-3.76%"
"28-06-2024","196.90","196.00","197.00","196.00","0.01K","0.31%"
"27-06-2024","196.30","196.15","197.15","195.80","0.01K","0.85%"
"26-06-2024","194.65","198.00","198.00","193.45","0.00K","-0.08%"
"25-06-2024","194.80","191.70","197.85","191.60","0.02K","2.39%"
"24-06-2024","190.25","188.50","192.55","188.05","0.15K","0.93%"
"21-06-2024","188.50","189.00","189.00","187.65","0.44K","-0.16%"
"20-06-2024","188.80","188.10","189.30","187.65","0.47K","0.16%"
"19-06-2024","188.50","189.35","190.90","188.10","0.67K","0.11%"
"18-06-2024","188.30","188.20","188.80","187.60","0.35K","0.19%"
"17-06-2024","187.95","186.35","190.00","186.15","0.34K","0.40%"
"14-06-2024","187.20","187.60","187.85","186.60","0.53K","-0.21%"
"13-06-2024","187.60","187.60","188.50","186.90","0.53K","-0.13%"
"12-06-2024","187.85","187.55","188.30","186.70","0.69K","0.35%"
"11-06-2024","187.20","189.25","189.90","186.80","0.81K","-0.95%"
"10-06-2024","189.00","187.80","189.55","187.10","0.67K","0.53%"
"07-06-2024","188.00","189.70","190.10","187.50","0.53K","-1.03%"
"06-06-2024","189.95","190.00","190.80","189.10","0.61K","0.08%"
"05-06-2024","189.80","190.15","190.95","188.05","1.04K","-0.34%"
"04-06-2024","190.45","192.00","193.30","190.05","0.69K","-0.76%"
"03-06-2024","191.90","192.70","192.90","191.10","0.36K","0.13%"
"31-05-2024","191.65","191.65","191.65","191.65","","0.00%"
"30-05-2024","191.65","191.65","191.65","191.65","0.00K","-0.16%"
"29-05-2024","191.95","191.95","191.95","191.95","","0.00%"
"28-05-2024","191.95","191.80","192.10","191.70","0.01K","1.99%"
"27-05-2024","188.20","190.00","190.90","186.30","0.10K","-0.37%"
