"Date","Price","Open","High","Low","Vol.","Change %"
"29-08-2024","797.35","798.90","799.90","794.35","0.04K","0.01%"
"28-08-2024","797.30","804.50","806.40","795.95","0.10K","-1.36%"
"27-08-2024","808.30","802.50","809.85","801.20","0.37K","1.02%"
"26-08-2024","800.15","800.40","801.85","793.10","3.57K","0.13%"
"23-08-2024","799.15","796.15","800.60","795.30","6.76K","0.65%"
"22-08-2024","793.95","804.05","806.70","792.15","8.65K","-1.27%"
"21-08-2024","804.20","800.35","806.00","799.00","8.13K","0.53%"
"20-08-2024","799.95","806.25","808.20","797.60","8.85K","-0.81%"
"19-08-2024","806.45","803.05","807.85","802.75","6.11K","0.62%"
"16-08-2024","801.45","795.00","802.95","793.35","10.61K","2.08%"
"14-08-2024","785.15","784.45","793.15","783.60","9.66K","-0.14%"
"13-08-2024","786.25","788.00","788.00","780.70","9.27K","-0.51%"
"12-08-2024","790.30","775.00","792.50","773.20","9.96K","1.76%"
"09-08-2024","776.60","779.90","785.30","775.10","10.30K","0.32%"
"08-08-2024","774.15","771.55","776.00","768.00","10.38K","0.42%"
"07-08-2024","770.90","779.00","780.00","770.25","8.70K","-1.48%"
"06-08-2024","782.50","776.25","783.80","769.50","9.74K","0.68%"
"05-08-2024","777.25","795.50","801.90","765.70","16.35K","-2.24%"
"02-08-2024","795.10","791.75","799.80","791.00","9.04K","0.61%"
"01-08-2024","790.30","808.85","809.45","789.30","12.85K","-0.53%"
"31-07-2024","794.55","786.80","795.80","786.80","0.01K","1.31%"
"30-07-2024","784.30","778.40","786.00","776.45","0.09K","0.27%"
"29-07-2024","782.20","791.30","791.30","779.45","0.10K","-0.81%"
"26-07-2024","788.60","792.30","793.95","786.60","0.19K","0.39%"
"25-07-2024","785.55","788.45","792.80","776.95","1.99K","-1.27%"
"24-07-2024","795.65","805.05","810.00","794.50","7.17K","-1.41%"
"23-07-2024","807.00","813.20","813.20","801.70","7.26K","-0.86%"
"22-07-2024","814.00","821.45","821.95","810.55","7.05K","-0.77%"
"19-07-2024","820.30","828.45","829.35","819.15","6.67K","-0.92%"
"18-07-2024","827.90","841.65","843.80","827.25","9.65K","-1.49%"
"17-07-2024","840.40","844.25","846.50","839.20","4.88K","-0.76%"
"16-07-2024","846.80","856.95","857.80","839.40","10.39K","-1.01%"
"15-07-2024","855.40","868.35","868.35","854.60","7.49K","-1.48%"
"12-07-2024","868.25","854.10","869.50","850.15","9.07K","1.43%"
"11-07-2024","856.00","870.90","874.30","855.10","10.16K","-1.46%"
"10-07-2024","868.70","868.10","876.50","863.10","7.16K","-0.02%"
"09-07-2024","868.90","867.75","876.20","864.45","5.87K","-0.10%"
"08-07-2024","869.80","873.85","878.20","867.25","6.27K","-0.62%"
"05-07-2024","875.25","867.30","881.70","866.50","9.79K","0.82%"
"04-07-2024","868.15","861.65","869.75","860.70","6.75K","0.56%"
"03-07-2024","863.30","849.00","866.45","848.50","11.35K","1.92%"
"02-07-2024","847.00","846.35","854.30","842.80","8.02K","0.15%"
"01-07-2024","845.75","839.55","849.00","835.70","7.64K","-1.07%"
"28-06-2024","854.90","864.00","864.55","853.40","0.01K","0.89%"
"27-06-2024","847.40","843.25","849.75","842.75","0.09K","0.26%"
"26-06-2024","845.20","845.45","847.90","838.00","0.03K","0.35%"
"25-06-2024","842.25","848.05","850.60","841.00","0.15K","-0.10%"
"24-06-2024","843.10","846.00","848.00","840.70","1.79K","-0.48%"
"21-06-2024","847.20","858.65","861.00","845.00","5.36K","-1.71%"
"20-06-2024","861.90","856.25","863.00","853.60","7.00K","0.86%"
"19-06-2024","854.55","853.00","857.90","850.60","6.59K","0.35%"
"18-06-2024","851.55","851.40","852.75","839.45","8.84K","0.22%"
"17-06-2024","849.65","848.05","851.30","845.30","4.91K","-0.83%"
"14-06-2024","856.80","857.90","860.25","850.85","7.72K","0.13%"
"13-06-2024","855.65","860.65","866.90","851.70","9.31K","-1.33%"
"12-06-2024","867.20","877.00","877.00","859.00","9.15K","1.05%"
"11-06-2024","858.15","860.30","863.35","850.05","10.17K","-0.56%"
"10-06-2024","862.95","852.60","865.35","850.60","8.02K","1.09%"
"07-06-2024","853.65","877.15","881.00","853.10","10.30K","-3.19%"
"06-06-2024","881.80","873.90","883.00","872.20","7.03K","1.40%"
"05-06-2024","869.65","863.40","871.40","857.20","8.21K","0.71%"
