"Date","Price","Open","High","Low","Vol.","Change %"
"30-08-2024","71,864","71,900","71,909","71,856","0.45K","-0.45%"
"29-08-2024","72,188","71,880","72,249","71,700","7.88K","0.62%"
"28-08-2024","71,743","71,980","72,075","71,514","6.19K","-0.53%"
"27-08-2024","72,122","71,898","72,160","71,740","5.06K","0.12%"
"26-08-2024","72,039","71,852","72,251","71,755","5.34K","0.37%"
"23-08-2024","71,777","71,474","71,940","71,302","7.32K","0.82%"
"22-08-2024","71,194","71,670","71,884","70,894","8.50K","-0.89%"
"21-08-2024","71,830","71,857","72,099","71,470","5.84K","0.07%"
"20-08-2024","71,777","71,530","72,272","71,403","8.32K","0.27%"
"19-08-2024","71,584","71,458","71,720","71,181","6.07K","0.29%"
"16-08-2024","71,375","70,303","71,475","70,279","9.58K","1.77%"
"14-08-2024","70,136","70,579","71,020","70,035","7.52K","-0.80%"
"13-08-2024","70,699","70,630","70,920","70,538","5.09K","-0.06%"
"12-08-2024","70,738","69,719","70,779","69,714","6.44K","1.21%"
"09-08-2024","69,895","69,470","69,995","69,470","4.93K","0.27%"
"08-08-2024","69,704","68,896","69,750","68,810","5.62K","1.07%"
"07-08-2024","68,965","69,440","69,440","68,740","4.65K","0.00%"
"06-08-2024","68,965","69,437","69,470","68,703","7.68K","-1.80%"
"05-08-2024","70,230","70,082","71,499","69,565","0.01K","-0.04%"
"02-08-2024","70,255","70,200","70,420","69,445","0.03K","0.86%"
"01-08-2024","69,654","69,624","69,940","69,282","0.15K","0.93%"
"31-07-2024","69,012","69,117","69,460","68,950","0.23K","0.59%"
"30-07-2024","68,610","68,273","68,699","67,945","2.33K","0.50%"
"29-07-2024","68,268","68,426","68,670","68,040","6.04K","0.12%"
"26-07-2024","68,186","67,990","68,340","67,666","6.22K","1.07%"
"25-07-2024","67,462","68,015","68,105","67,400","10.42K","-2.16%"
"24-07-2024","68,952","68,790","69,299","68,652","7.62K","0.65%"
"23-07-2024","68,510","72,838","72,850","68,456","27.81K","-5.79%"
"22-07-2024","72,718","73,161","73,185","72,501","7.00K","-0.37%"
"19-07-2024","72,990","73,810","73,866","72,930","8.51K","-1.57%"
